id,has_website,is_scraped,is_filtered
12150431698,True,True,False
12189244052,True,True,False
12878345437,,False,False
12878464871,True,False,False
290371557,True,True,False
440806559,True,True,False
681286403,,False,False
2465449197,True,True,False
4382964743,True,True,False
4756281123,,False,False
5020326916,True,False,False
6515397235,,False,False
275746990,True,True,False
325047338,True,False,False
364723248,True,True,False
373114872,,False,False
373116618,,False,False
373116620,,False,False
373119361,,False,False
475939026,,False,False
565516938,,False,False
574957473,,False,False
595572248,,False,False
614262871,True,True,False
614262875,True,False,False
639124026,,False,False
639124036,,False,False
648527635,True,True,False
769222556,,False,False
994965853,,False,False
1170699754,True,True,False
1170699831,True,True,False
1312970439,True,False,False
1312973255,True,True,False
1526278480,True,True,False
1618048044,True,True,False
1619733870,,False,False
1639959908,,False,False
1654390685,True,True,False
1667919914,True,True,False
2087692024,,False,False
2088366786,,False,False
2088366787,True,True,False
2088873600,,False,False
2089542751,,False,False
2131474651,,False,False
2419361919,True,True,False
2429003453,True,True,False
2456759420,True,True,False
2456759438,,False,False
2563387802,True,False,False
2577144468,,False,False
2609169270,,False,False
2624916252,True,True,False
2629487828,True,True,False
2735220824,False,False,False
2741556250,True,True,False
2857563684,,False,False
3421153609,,False,False
3631833001,True,False,False
3679166129,True,True,False
4058709881,,False,False
4625773355,True,False,False
4866703908,True,True,False
5218885277,True,True,False
5259976641,,False,False
5370187476,True,True,False
5370187486,True,True,False
5370187494,,False,False
5744122056,,False,False
6057706465,,False,False
6074557485,,False,False
6303792807,True,True,False
6404707319,True,True,False
6432961072,True,True,False
6476809870,,False,False
6765199916,,False,False
8238707929,True,False,False
8420852736,,False,False
8446939617,,False,False
8942631217,,False,False
9007091597,,False,False
9013910773,True,True,False
9013910774,True,False,False
9013910776,True,False,False
9504291474,True,True,False
9505264971,,False,False
9562305189,True,True,False
9575887530,True,True,False
11263972632,True,True,False
11517031635,,False,False
11572438896,True,True,False
11697669760,,False,False
11702093223,,False,False
11982901191,True,True,False
12203546281,True,True,False
12455651150,True,True,False
12475452387,,False,False
12533703461,True,True,False
12573777346,True,True,False
12613659274,True,True,False
12701609485,True,False,False
71525604,True,True,False
71525611,True,False,False
107678669,,False,False
122336670,False,True,False
254097107,True,True,False
262502093,True,True,False
290725197,True,True,False
292057785,True,True,False
457333463,True,True,False
457333518,True,True,False
585056537,,False,False
698555438,,False,False
702231310,True,True,False
774446310,,False,False
